value;dimension;domain;variable;depth;datetime;location;experiment;fertilizer_tr;variety_tr;plantdensity_tr;plantingdate_tr;soilmanagement_tr;plantprotection_tr;repetition;
7360;kg/ha;maize;grainyield;0;2011-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
4768;kg/ha;maize;grainyield;0;2011-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
8086;kg/ha;maize;grainyield;0;2011-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
6713;kg/ha;maize;grainyield;0;2011-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
4671;kg/ha;maize;grainyield;0;2012-11-09 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
5277;kg/ha;maize;grainyield;0;2012-11-09 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
6539;kg/ha;maize;grainyield;0;2012-11-09 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
5711;kg/ha;maize;grainyield;0;2012-11-09 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
5505;kg/ha;maize;grainyield;0;2013-11-22 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
2292;kg/ha;maize;grainyield;0;2013-11-22 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
5036;kg/ha;maize;grainyield;0;2013-11-22 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
4654;kg/ha;maize;grainyield;0;2013-11-22 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
8793;kg/ha;maize;grainyield;0;2014-11-12 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
5983;kg/ha;maize;grainyield;0;2014-11-12 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
7378;kg/ha;maize;grainyield;0;2014-11-12 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
7613;kg/ha;maize;grainyield;0;2014-11-12 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
7193;kg/ha;maize;grainyield;0;2015-11-09 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
3833;kg/ha;maize;grainyield;0;2015-11-09 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
5150;kg/ha;maize;grainyield;0;2015-11-09 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
5396;kg/ha;maize;grainyield;0;2015-11-09 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
7447;kg/ha;maize;grainyield;0;2016-11-10 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
5323;kg/ha;maize;grainyield;0;2016-11-10 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
6172;kg/ha;maize;grainyield;0;2016-11-10 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
9045;kg/ha;maize;grainyield;0;2016-11-10 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
4803;kg/ha;maize;grainyield;0;2017-11-08 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
3580;kg/ha;maize;grainyield;0;2017-11-08 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
4643;kg/ha;maize;grainyield;0;2017-11-08 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
5505;kg/ha;maize;grainyield;0;2017-11-08 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
8246;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
7785;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
7679;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
7078;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
6836;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
3201;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
7505;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
6970;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
4812;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
2986;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
7384;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
6257;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
3770;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
3410;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
5960;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
3440;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
8450;kg/ha;maize;grainyield;0;1995-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
6260;kg/ha;maize;grainyield;0;1995-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
4880;kg/ha;maize;grainyield;0;1995-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
7930;kg/ha;maize;grainyield;0;1995-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
7120;kg/ha;maize;grainyield;0;1996-11-04 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
5990;kg/ha;maize;grainyield;0;1996-11-04 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
5640;kg/ha;maize;grainyield;0;1996-11-04 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
7140;kg/ha;maize;grainyield;0;1996-11-04 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
9430;kg/ha;maize;grainyield;0;1997-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
7370;kg/ha;maize;grainyield;0;1997-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
4230;kg/ha;maize;grainyield;0;1997-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
3270;kg/ha;maize;grainyield;0;1997-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
6990;kg/ha;maize;grainyield;0;1998-10-24 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
3700;kg/ha;maize;grainyield;0;1998-10-24 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
6310;kg/ha;maize;grainyield;0;1998-10-24 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
5200;kg/ha;maize;grainyield;0;1998-10-24 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
6390;kg/ha;maize;grainyield;0;1999-11-15 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
4330;kg/ha;maize;grainyield;0;1999-11-15 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
6920;kg/ha;maize;grainyield;0;1999-11-15 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
6020;kg/ha;maize;grainyield;0;1999-11-15 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
5650;kg/ha;maize;grainyield;0;2000-10-25 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
3250;kg/ha;maize;grainyield;0;2000-10-25 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
4800;kg/ha;maize;grainyield;0;2000-10-25 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
5500;kg/ha;maize;grainyield;0;2000-10-25 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
9297;kg/ha;maize;grainyield;0;2001-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
6607;kg/ha;maize;grainyield;0;2001-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
9367;kg/ha;maize;grainyield;0;2001-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
7227;kg/ha;maize;grainyield;0;2001-11-05 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
6910;kg/ha;maize;grainyield;0;2002-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
4597;kg/ha;maize;grainyield;0;2002-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
6817;kg/ha;maize;grainyield;0;2002-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
5342;kg/ha;maize;grainyield;0;2002-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
5522;kg/ha;maize;grainyield;0;2003-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
5808;kg/ha;maize;grainyield;0;2003-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
6199;kg/ha;maize;grainyield;0;2003-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
5930;kg/ha;maize;grainyield;0;2003-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
5288;kg/ha;maize;grainyield;0;2004-11-04 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
4519;kg/ha;maize;grainyield;0;2004-11-04 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
7036;kg/ha;maize;grainyield;0;2004-11-04 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
6043;kg/ha;maize;grainyield;0;2004-11-04 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
8167;kg/ha;maize;grainyield;0;2005-11-18 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
4207;kg/ha;maize;grainyield;0;2005-11-18 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
8435;kg/ha;maize;grainyield;0;2005-11-18 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
6255;kg/ha;maize;grainyield;0;2005-11-18 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
9195;kg/ha;maize;grainyield;0;2006-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
5245;kg/ha;maize;grainyield;0;2006-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
9306;kg/ha;maize;grainyield;0;2006-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
8923;kg/ha;maize;grainyield;0;2006-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
4477;kg/ha;maize;grainyield;0;2007-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
1534;kg/ha;maize;grainyield;0;2007-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
3552;kg/ha;maize;grainyield;0;2007-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
3899;kg/ha;maize;grainyield;0;2007-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
9526;kg/ha;maize;grainyield;0;2008-11-10 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
6744;kg/ha;maize;grainyield;0;2008-11-10 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
9818;kg/ha;maize;grainyield;0;2008-11-10 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
9470;kg/ha;maize;grainyield;0;2008-11-10 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
4850;kg/ha;maize;grainyield;0;2009-10-30 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
4140;kg/ha;maize;grainyield;0;2009-10-30 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
4982;kg/ha;maize;grainyield;0;2009-10-30 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
4192;kg/ha;maize;grainyield;0;2009-10-30 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
4813;kg/ha;maize;grainyield;0;2010-11-17 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
3986;kg/ha;maize;grainyield;0;2010-11-17 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
6111;kg/ha;maize;grainyield;0;2010-11-17 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
6524;kg/ha;maize;grainyield;0;2010-11-17 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
