value,dimension,domain,parameter,depth,datetime,experiment,treatment,repetition,equipment,person/logger
8141,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V03,3,,
9372,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V04,3,,
7656,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V05,3,,
5995,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V01,3,,
6575,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V02,3,,
7437,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V03,3,,
9460,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V04,3,,
9761,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V05,3,,
6361,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V01,3,,
6667,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V02,3,,
9318,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V03,3,,
9599,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V04,3,,
8989,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V05,3,,
7210,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V01,3,,
7308,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V02,3,,
9306,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V03,3,,
11050,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V04,3,,
9610,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V05,3,,
5816,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V01,3,,
8217,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V02,3,,
10186,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V03,3,,
9982,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V04,3,,
8978,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V05,3,,
7040,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V01,4,,
8038,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V02,4,,
7157,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V03,4,,
8208,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V04,4,,
10362,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V05,4,,
6455,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V01,4,,
7495,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V02,4,,
7731,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V03,4,,
8617,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V04,4,,
9087,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V05,4,,
5386,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V01,4,,
7148,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V02,4,,
6507,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V03,4,,
8533,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V04,4,,
9147,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V05,4,,
6298,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V01,4,,
7774,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V02,4,,
6973,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V03,4,,
10635,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V04,4,,
8844,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V05,4,,
6273,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V01,4,,
8404,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V02,4,,
6806,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V03,4,,
