"","x"
"918",20
"919",17
"920",17
"921",19
"922",23
"923",22
"924",18
"925",19
"926",20
"927",29
"928",29
"929",17
"930",17
"931",22
"932",23
"933",29
"934",33
"935",31
"936",30
"937",30
"938",34
"939",32
"940",31
"941",30
"942",34
"943",33
"944",29
"945",24
"946",21
"947",13
"948",10
"949",8
"950",5
"951",6
"952",6
"953",6
"954",8
"955",26
"956",27
"957",30
"958",27
"959",23
"960",20
"961",16
"962",15
"963",18
"964",15
"965",12
"966",20
"967",24
"968",26
"969",31
"970",25
"971",21
"972",21
"973",22
"974",25
"975",26
"976",23
"977",21
"978",19
"979",21
"980",29
"981",32
"982",36
"983",36
"984",29
"985",29
"986",22
"987",20
"988",13
"989",8
"990",7
"991",6
"992",6
"993",5
"994",5
"995",12
"996",32
"997",29
"998",28
"999",23
"1000",20
"1001",24
"1002",24
"1003",24
"1004",18
"1005",16
"1006",15
"1007",16
"1008",22
"1009",27
"1010",25
"1011",21
"1012",22
"1013",23
"1014",30
"1015",34
"1016",36
"1017",37
"1018",37
"1019",37
"1020",29
"1021",18
"1022",12
"1023",17
"1024",15
"1025",12
"1026",8
"1027",9
"1028",5
"1029",12
"1030",24
"1031",23
"1032",20
"1033",20
"1034",22
"1035",18
"1036",21
"1037",19
"1038",28
"1039",29
"1040",31
"1041",31
"1042",27
"1043",29
"1044",30
"1045",31
"1046",33
"1047",37
"1048",32
"1049",24
"1050",29
"1051",24
"1052",34
"1053",37
"1054",36
"1055",30
"1056",24
"1057",12
"1058",10
"1059",21
"1060",23
"1061",22
"1062",34
"1063",26
"1064",31
"1065",28
"1066",30
"1067",33
"1068",35
"1069",33
"1070",27
"1071",18
"1072",22
"1073",26
"1074",38
"1075",42
"1076",44
"1077",42
"1078",38
"1079",29
"1080",19
"1081",33
"1082",31
"1083",27
"1084",27
"1085",29
"1086",31
"1087",34
"1088",28
"1089",29
"1090",16
"1091",13
"1092",17
"1093",26
"1094",23
"1095",26
"1096",28
"1097",32
"1098",34
"1099",32
"1100",25
"1101",20
"1102",14
"1103",17
"1104",23
