"plotid","error","value"
"229",0,-4132.45389219107
"23",0,-4405.71357245971
"230",0,-4718.40248208384
"231",0,-4479.65860042233
"232",0,-4847.20434068825
"233",0,-4374.80762529265
"234",0,-3758.75986738642
"235",0,-3200.90917753356
"236",0,-2853.9076448701
"237",0,-2734.14615919292
"238",0,-2719.01696072401
"239",0,-3562.23627692181
"24",0,-4612.30952862583
"240",0,-3770.59314130377
"241",0,-2784.38400136521
"242",0,-2054.4326578665
"243",0,-3457.11949656115
"244",0,-3897.19058581363
"245",0,-4183.1773895262
"246",0,-4299.94932652054
"247",0,-4220.73186024247
"248",0,-4416.16662103683
"249",0,-3979.4301296963
"25",0,-4835.34141849755
"250",0,-4192.88418899367
"251",0,-3785.06282722854
"252",0,-4007.34367438196
"253",0,-3297.09571069548
"254",0,-3063.17656379849
"255",0,-3624.97380513259
"256",0,-3612.26031919857
"257",0,-3883.70887490719
"258",0,-2566.41705727654
"259",0,-2181.06918022725
"26",0,-5086.14189931313
"260",0,-371.959585912997
"261",0,-532.944144956924
"262",0,-440.641862832483
"263",0,-124.404357964424
"264",0,-679.424763432131
"265",0,-2149.90264633873
"266",0,-2435.59806392958
"267",0,-2575.4338695914
"268",0,-4283.69577699492
"269",0,-4447.99514053223
"27",0,-5220.97165839818
"270",0,-4731.43756358759
"271",0,-4590.74210003778
"272",0,-4543.76279068118
"273",0,-4572.82787362663
"274",0,-4362.62658123298
"275",0,-4622.12246741511
"276",0,-4483.16441016106
"277",0,-4592.22621814569
"278",0,-5119.24337813847
"279",0,-4935.16611286093
"28",0,-4917.63845005265
"280",0,-4534.29942814331
"281",0,-4708.30495468916
"282",0,-4417.80032015874
"283",0,-4578.98049910174
"284",0,-4032.7717017581
"285",0,-4136.4644800015
"286",0,-3579.51557163973
"287",0,-2956.47804863409
"288",0,-3213.84323963984
"289",0,-3462.23868856947
"29",0,-5128.29828977366
"290",0,-4301.04532581342
"291",0,-4399.92599733022
"292",0,-3205.50284426305
"293",0,-2189.8382476922
"294",0,-3249.35065198948
"295",0,-4014.75406522988
"296",0,-4409.45101811575
"297",0,-4496.89235273049
"298",0,-4310.40874110509
"299",0,-4277.80997282105
"3",0,-4818.02111805414
"30",0,-4738.67335797704
"300",0,-4310.636954571
"301",0,-3713.5650269028
"302",0,-3682.0551165456
"303",0,-2874.88899999523
"304",0,-3402.42822699274
"305",0,-3700.59257337153
"306",0,-3374.87217190328
"307",0,-3536.56785728674
"308",0,-2787.30627672826
"309",0,-662.223323326973
"31",0,-4973.21806731326
"310",0,-571.44166488713
"311",0,-588.025972691625
"312",0,-1129.0996979145
"313",0,-979.888879837024
"314",0,-2148.8597148402
"315",0,-1481.78522740862
"316",0,-1980.21353914492
"317",0,-2944.72011332563
"318",0,-4135.57136884225
"319",0,-4230.23456979632
"32",0,-5069.89358818877
"320",0,-4270.19650813119
"321",0,-4181.3715003779
"322",0,-4446.38140944386
"323",0,-4416.7338883654
"324",0,-4442.17543820837
"325",0,-4451.68174426303
"326",0,-4558.92668387794
"327",0,-4723.74415948624
"328",0,-4631.22353548045
"329",0,-4299.21328028426
"33",0,-4995.52047674376
"330",0,-4647.95365062356
"331",0,-3452.37909521817
"332",0,-4484.67430174336
"333",0,-4478.69299652448
"334",0,-4262.06854653568
"335",0,-4243.01498114496
"336",0,-4038.11539403069
"337",0,-3147.4749892758
"338",0,-4096.08523629719
"339",0,-3454.89187016319
"34",0,-4954.50927010255
"340",0,-3618.73986299245
"341",0,-60.8925126431423
"342",0,-3608.98937069966
"343",0,-1284.02508509182
"344",0,-3558.53729614786
"345",0,-3773.29713273294
"346",0,-3442.27684698476
"347",0,-3685.93003997376
"348",0,-3778.13103817846
"349",0,-4353.64097652164
"35",0,-5122.06778712289
"350",0,-4157.04169834073
"351",0,-4321.69711972129
"352",0,-4123.48450458454
"353",0,-4183.4389324939
"354",0,-3870.84329762189
"355",0,-3101.0595707756
"356",0,-3752.3933883617
"357",0,-3048.50850123094
"358",0,-3320.71918813939
"359",0,-3244.63925950079
"36",0,-4565.03608318168
"360",0,-3196.39276255712
"361",0,-418.803376213444
"362",0,-2284.41255326787
"363",0,-848.433621524759
"364",0,-361.07284445484
"365",0,-2181.24462357218
"366",0,-2556.10501447075
"367",0,-2838.76201406792
"368",0,-2423.34217112714
"369",0,-3156.44744978195
"37",0,-2881.44785721486
"370",0,-3601.77542499341
"371",0,-4131.62775830686
"372",0,-4310.43736526995
"373",0,-4268.90175071716
"374",0,-4232.45251024243
"375",0,-4328.18823416899
"376",0,-4313.12737394216
"377",0,-4379.70371335147
"378",0,-4487.69141709283
"379",0,-4302.71698382983
"38",0,-2581.86892631266
"380",0,-3372.34669812231
"381",0,-3153.58428835334
"382",0,-4423.65068996333
"383",0,-4681.2860295981
"384",0,-3877.41674824452
"385",0,-4207.90670267045
"386",0,-4652.54595331066
"387",0,-4320.00415903036
"388",0,-4265.45962487448
"389",0,-4681.68421577047
"39",0,-2012.00114633078
"390",0,-3992.36031762623
"391",0,-3719.8622483409
"392",0,-2918.1540991646
"393",0,-3383.00505787705
"394",0,-1116.07341091744
"395",0,-2244.67749712038
"396",0,-2885.51693582819
"397",0,-2118.32778889204
"398",0,-3169.13230690313
"399",0,-3833.65792747952
"4",0,-4378.20940547852
"40",0,-2381.529202575
"400",0,-4677.88637045923
"401",0,-4497.53109738542
"402",0,-3552.9285087084
"403",0,-4207.17123956825
"404",0,-4292.82845907963
"405",0,-4381.37355235091
"406",0,-4540.65994188598
"407",0,-3183.16418232702
"408",0,-3412.80390628027
"409",0,-3496.31938411862
"41",0,-3950.07544784355
"410",0,-3238.40926746123
"411",0,-3368.64620988566
"412",0,-3533.87881983394
"413",0,-3651.59761886289
"414",0,-3170.87003822611
"415",0,-589.658788058309
"416",0,-938.351311795786
"417",0,-977.001815639333
"418",0,-188.915887704725
"419",0,-1162.89040941453
"42",0,-4487.10288329315
"420",0,-2464.7142530717
"421",0,-1512.45465716245
"422",0,-1487.82103115745
"423",0,-3135.4638100779
"424",0,-3214.35354881616
"425",0,-4058.55208759109
"426",0,-4205.45314454195
"427",0,-4296.93592280397
"428",0,-4421.26323309414
"429",0,-3971.2273202839
"43",0,-4343.01244473369
"430",0,-4161.52934329057
"431",0,-4161.26311577203
"432",0,-4045.31873772956
"433",0,-4173.12600732237
"434",0,-4215.22146432968
"435",0,-4332.4798411038
"436",0,-4433.59143221647
"437",0,-5072.81046391805
"438",0,-5313.68482404136
"439",0,-4812.0172989988
"44",0,-5612.54001022503
"440",0,-4139.96197897582
"441",0,-3994.3652927846
"442",0,-3733.24040083376
"443",0,-3339.61171033328
"444",0,-2071.69688083571
"445",0,-2830.45919084184
"446",0,-2880.48071222681
"447",0,-3335.29757669799
"448",0,-2543.67243902529
"449",0,-2581.28154445486
"45",0,-3358.36958374787
"450",0,-520.830673465869
"451",0,-3194.43852717064
"452",0,-4400.89887119465
"453",0,-835.743274806318
"454",0,-1883.148602051
"455",0,-4315.54114255738
"456",0,-4142.57021594757
"457",0,-4368.34734761885
"458",0,-4448.75425345166
"459",0,-3802.13972335686
"46",0,-1075.52229878039
"460",0,-3125.97579753953
"461",0,-3401.64612149517
"462",0,-3128.26844890458
"463",0,-3567.92632727814
"464",0,-4087.58674926985
"465",0,-4269.22245219577
"466",0,-4075.69104705798
"467",0,-3017.39604574688
"468",0,-1933.12533836595
"469",0,-596.293135380467
"47",0,-4637.9862505384
"470",0,-290.827976091366
"471",0,-1214.99919363229
"472",0,-1196.80023352873
"473",0,-2416.6396601004
"474",0,-1480.22205712038
"475",0,-1549.78341265484
"476",0,-1699.50949667901
"477",0,-3545.64234964697
"478",0,-4161.38503681899
"479",0,-4213.95522090127
"48",0,-5033.03856835099
"480",0,-4066.61732921175
"481",0,-4158.58647788865
"482",0,-4255.98564482169
"483",0,-3794.16445693383
"484",0,-4179.35272815925
"485",0,-4246.16826349486
"486",0,-4522.37503324103
"487",0,-4595.06439627509
"488",0,-5057.21867227356
"489",0,-4830.62246296953
"49",0,-4401.65401652142
"490",0,-5178.07380275886
"491",0,-5297.82482591685
"492",0,-4041.88877401951
"493",0,-3962.18247222487
"494",0,-3765.56883718614
"495",0,-3828.42557193463
"496",0,-2642.38155748405
"497",0,-2857.76489140081
"498",0,-2933.6143740206
"499",0,-2763.20152453219
"5",0,-4173.70798171761
"50",0,-4826.07818603963
"500",0,-1195.73992262547
"501",0,-2520.4821078046
