"plotid","error","value"
"261",0,-2483.96397263117
"262",0,-2469.70644603738
"263",0,-2364.84991017513
"264",0,-2433.94424847771
"265",0,-2427.38059967332
"266",0,-2353.93278452254
"267",0,-2367.95477651346
"268",0,-2363.85589518949
"269",0,-2321.43732646478
"27",0,-3819.5192619539
"270",0,-2376.1620687663
"271",0,-2286.84932791103
"272",0,-2904.25417671455
"273",0,-2885.40574940507
"274",0,-2848.38939194829
"275",0,-2893.24781370315
"276",0,-2876.04200110755
"277",0,-2885.55991094537
"278",0,-3200.39449616498
"279",0,-2875.46761475844
"28",0,-3797.97498370541
"280",0,-2668.26270832358
"281",0,-2736.55829629567
"282",0,-2894.79997991647
"283",0,-2824.41982276437
"284",0,-3001.41016661917
"285",0,-2901.7100213198
"286",0,-2910.67606220857
"287",0,-2936.74931654826
"288",0,-2892.30468200633
"289",0,-3266.80945594404
"29",0,-3827.01146143848
"290",0,-3230.40510450069
"291",0,-3233.37134121882
"292",0,-3299.72397698996
"293",0,-3508.94995982611
"294",0,-3293.73599219674
"295",0,-3337.60721936307
"296",0,-3449.96989604931
"297",0,-3499.5398846935
"298",0,-4273.73114255961
"299",0,-4309.44966345924
"3",0,-3729.01624910937
"30",0,-3868.47388740028
"300",0,-4352.18697082977
"301",0,-4279.43903909397
"302",0,-4330.01933247114
"303",0,-4335.9985846256
"304",0,-4351.85964153593
"305",0,-4417.38205176631
"306",0,-2476.09437387918
"307",0,-2488.49415648916
"308",0,-2501.18909509178
"309",0,-2520.78104777505
"31",0,-3882.10823084804
"310",0,-2506.57397684932
"311",0,-2490.25370790998
"312",0,-2431.14028552045
"313",0,-2456.68153693013
"314",0,-2446.90442762795
"315",0,-2672.01242044409
"316",0,-2571.81025764469
"317",0,-2358.28709987212
"318",0,-2344.36690918429
"319",0,-2355.22351045197
"32",0,-3906.9884019681
"320",0,-2265.23414505937
"321",0,-2220.96611695896
"322",0,-2923.09133607315
"323",0,-2922.60530794233
"324",0,-2890.27448498805
"325",0,-2885.04643723826
"326",0,-2902.41634941436
"327",0,-2919.04146799223
"328",0,-2885.20396703442
"329",0,-2904.17527173779
"33",0,-3882.03448241245
"330",0,-2874.63633743163
"331",0,-2880.30289206497
"332",0,-3108.2566478103
"333",0,-2966.04728190467
"334",0,-3118.3872865265
"335",0,-3178.41119793369
"336",0,-3247.4666749786
"337",0,-3237.05362602393
"338",0,-3187.98177163998
"339",0,-2950.18321158005
"34",0,-2311.12872118397
"340",0,-2970.40322227497
"341",0,-3831.61939025099
"342",0,-2352.24404625198
"343",0,-2711.03421284614
"344",0,-2383.61583572382
"345",0,-3337.42476320606
"346",0,-3318.73427781625
"347",0,-3600.05452210963
"348",0,-3620.31396213941
"349",0,-3324.05290280993
"35",0,-2309.0822171196
"350",0,-3322.26459749248
"351",0,-3643.28382922559
"352",0,-3652.82155055496
"353",0,-3647.46508856771
"354",0,-3699.60559167193
"355",0,-3730.07045233679
"356",0,-3662.36282637655
